pair	exposure	outcome	status	n_ivs	method	beta	se	p
Chong_2022__OCD	Chong_2022	OCD	OK	48	Inverse variance weighted	-0.0174977660175593	0.0819533580882319	0.830930098584422
Chong_2022__OCD	Chong_2022	OCD	OK	48	MR Egger	-0.143263546725503	0.185819522273735	0.445247951856388
Chong_2022__OCD	Chong_2022	OCD	OK	48	Weighted median	0.0471210024131148	0.123040748142479	0.701741483101962
Chong_2022__OCD	Chong_2022	OCD	OK	48	Robust adjusted profile score (RAPS)	-0.0123007049741088	0.0847548808450926	0.884606098145213
Chong_2022__PTSD	Chong_2022	PTSD	OK	56	Inverse variance weighted	0.00701900740258059	0.0161788329722693	0.664405417753847
Chong_2022__PTSD	Chong_2022	PTSD	OK	56	MR Egger	0.0248812793343817	0.0360283042029623	0.493284814155276
Chong_2022__PTSD	Chong_2022	PTSD	OK	56	Weighted median	0.00225159532414949	0.0195829172659105	0.90846293776713
Chong_2022__PTSD	Chong_2022	PTSD	OK	56	Robust adjusted profile score (RAPS)	0.00414414987961234	0.0157728363329691	0.792751235160227
Chong_2022__AN	Chong_2022	AN	OK	50	Inverse variance weighted	0.0740177210270312	0.101824346743397	0.467277570348179
Chong_2022__AN	Chong_2022	AN	OK	50	MR Egger	-0.12084608982483	0.237492705146416	0.61359099330655
Chong_2022__AN	Chong_2022	AN	OK	50	Weighted median	-0.036983317203283	0.150363189005333	0.805713262519551
Chong_2022__AN	Chong_2022	AN	OK	50	Robust adjusted profile score (RAPS)	0.103193924924725	0.105302116325084	0.327096192852308
Chong_2022__BPD	Chong_2022	BPD	OK	37	Inverse variance weighted	-0.0141249836017899	0.13577421550513	0.917143250210948
Chong_2022__BPD	Chong_2022	BPD	OK	37	MR Egger	0.172726005053626	0.321789320825727	0.595387031685174
Chong_2022__BPD	Chong_2022	BPD	OK	37	Weighted median	-0.131223972169925	0.201626641295995	0.515158456812908
Chong_2022__BPD	Chong_2022	BPD	OK	37	Robust adjusted profile score (RAPS)	-0.0873222238380608	0.139109932976039	0.530186737281266
Chong_2022__TS	Chong_2022	TS	OK	50	Inverse variance weighted	0.140484571214153	0.193010111148402	0.466698556222194
Chong_2022__TS	Chong_2022	TS	OK	50	MR Egger	0.0366936127442535	0.448781739205761	0.935233258992775
Chong_2022__TS	Chong_2022	TS	OK	50	Weighted median	0.0872029422489747	0.278506721952041	0.754197903346266
Chong_2022__TS	Chong_2022	TS	OK	50	Robust adjusted profile score (RAPS)	0.121683251123184	0.199559194358758	0.542020680171311
Chong_2022__PPD	Chong_2022	PPD	OK	59	Inverse variance weighted	0.0756077537430498	0.0989723647942338	0.444910192272492
Chong_2022__PPD	Chong_2022	PPD	OK	59	MR Egger	0.207130663657532	0.224112147340594	0.359990872105777
Chong_2022__PPD	Chong_2022	PPD	OK	59	Weighted median	0.156175506772966	0.143686474407067	0.277072769484711
Chong_2022__PPD	Chong_2022	PPD	OK	59	Robust adjusted profile score (RAPS)	0.0673894343998772	0.104734306645844	0.519943639158657
Chong_2022__ADR_PercImp	Chong_2022	ADR_PercImp	OK	41	Inverse variance weighted	-0.222617847907633	0.161508194935889	0.16808946828266
Chong_2022__ADR_PercImp	Chong_2022	ADR_PercImp	OK	41	MR Egger	-0.389198821936345	0.376902118320566	0.309520672733528
Chong_2022__ADR_PercImp	Chong_2022	ADR_PercImp	OK	41	Weighted median	-0.336621860586734	0.210655657715997	0.110049189767478
Chong_2022__ADR_PercImp	Chong_2022	ADR_PercImp	OK	41	Robust adjusted profile score (RAPS)	-0.223020219283967	0.166120053592955	0.179426036065316
Chong_2022__ADR_NonRem	Chong_2022	ADR_NonRem	OK	34	Inverse variance weighted	0.144547028789021	0.39373642162048	0.713532325135326
Chong_2022__ADR_NonRem	Chong_2022	ADR_NonRem	OK	34	MR Egger	0.52083886672462	0.967219920821609	0.594650504079696
Chong_2022__ADR_NonRem	Chong_2022	ADR_NonRem	OK	34	Weighted median	0.0344741078810215	0.534799603188329	0.948602578360877
Chong_2022__ADR_NonRem	Chong_2022	ADR_NonRem	OK	34	Robust adjusted profile score (RAPS)	0.144740529893466	0.404637849773562	0.720564927249532
Chong_2022__BD_noUKBB	Chong_2022	BD_noUKBB	OK	56	Inverse variance weighted	0.099762875632769	0.0763119925136489	0.191109919696835
Chong_2022__BD_noUKBB	Chong_2022	BD_noUKBB	OK	56	MR Egger	0.156086841159063	0.173900418336842	0.374091670727555
Chong_2022__BD_noUKBB	Chong_2022	BD_noUKBB	OK	56	Weighted median	0.101632707348967	0.103433902583863	0.325811224461851
Chong_2022__BD_noUKBB	Chong_2022	BD_noUKBB	OK	56	Robust adjusted profile score (RAPS)	0.110165664172385	0.0835410873521167	0.187269297555453
Chong_2022__MDD_noUKBB	Chong_2022	MDD_noUKBB	OK	55	Inverse variance weighted	0.0603276724104618	0.0716130636188195	0.39955762636771
Chong_2022__MDD_noUKBB	Chong_2022	MDD_noUKBB	OK	55	MR Egger	0.0417996928898171	0.163198849180627	0.799019758058837
Chong_2022__MDD_noUKBB	Chong_2022	MDD_noUKBB	OK	55	Weighted median	0.0194389721747793	0.103643058736928	0.851224004987233
Chong_2022__MDD_noUKBB	Chong_2022	MDD_noUKBB	OK	55	Robust adjusted profile score (RAPS)	0.0646802216433421	0.0702355478612139	0.357100366609114
