pair	exposure	outcome	status	n_ivs	beta	se	p	q_p	egger_p	presso_p	q_BH
Gupta_2023_raw__PPD	Gupta_2023_raw	PPD	OK	67	0.0166903212870195	0.0579342345411421	0.77327721745061	0.839776342926099	0.374586990265116	0.781940298507463	0.9524933476636
Gupta_2023_raw__ADR_PercImp	Gupta_2023_raw	ADR_PercImp	OK	57	-0.0570062633158688	0.0904904921170546	0.528714443789324	0.999227671056654	0.555797734739811	0.999473684210526	0.9524933476636
Gupta_2023_raw__ADR_NonRem	Gupta_2023_raw	ADR_NonRem	OK	47	0.049553543461021	0.220578629913038	0.822249609631776	0.999999871954701	0.717124740180497	1	0.9524933476636
Gupta_2023_raw__BD_noUKBB	Gupta_2023_raw	BD_noUKBB	OK	63	0.0509225059312507	0.0459874810233365	0.268158904279599	0.0484477939642127	0.909892067467074	0.033015873015873	0.9524933476636
Gupta_2023_raw__MDD_noUKBB	Gupta_2023_raw	MDD_noUKBB	OK	65	0.000463731772642177	0.043794317260815	0.991551472186035	0.0550426063888003	0.568606731402117	0.0446153846153846	0.991551472186035
Gupta_2023_raw__BPD_noUKBB	Gupta_2023_raw	BPD_noUKBB	OK	47	-0.10205029563497	0.0783301127709709	0.192635095802077	0.0700338406504195	0.395178877965373	0.0127659574468085	0.917309980009889
Gupta_2023_raw__PFactor	Gupta_2023_raw	PFactor	OK	28	-0.00206927520944568	0.0123344414351842	0.866768946373876	2.68511603418274e-08	0.336776261263687		0.9524933476636
Gupta_2023_raw__F1	Gupta_2023_raw	F1	OK	28	0.0285434373808901	0.0374916206031343	0.446460912068742	0.541976559802896	0.182922122396747	0.558571428571429	0.9524933476636
Gupta_2023_raw__F2	Gupta_2023_raw	F2	OK	28	0.0143248962581316	0.0357987625839581	0.689045598575987	0.000399313922021925	0.0660440559273686		0.9524933476636
Gupta_2023_raw__F3	Gupta_2023_raw	F3	OK	28	-0.0742031544060283	0.0330349596807004	0.0246911460362861	0.181368709207685	0.212123645195724	0.172857142857143	0.337637074077959
Gupta_2023_raw__F4	Gupta_2023_raw	F4	OK	28	-0.000285565379315575	0.0136144506468439	0.98326546498216	1.44720077233572e-06	0.420870681870041		0.991551472186035
Gupta_2023_raw__F5	Gupta_2023_raw	F5	OK	28	-0.00714647877296872	0.0217455708220119	0.742427310451713	0.000261300075725259	0.859150699839566		0.9524933476636
Gupta_2023_raw__BMI	Gupta_2023_raw	BMI	OK	20	0.00363990843152904	0.0215739343176977	0.866018555280273	8.07108666315801e-10	0.996055096844838		0.9524933476636
Gupta_2023_raw__Height	Gupta_2023_raw	Height	OK	19	-0.0112949150906321	0.032875377113431	0.731171478967165	1.79813482347292e-41	0.377435359199685		0.9524933476636
