tissue	gene_id	outcome	n_snps	PP0	PP1	PP2	PP3	PP4
Brain_Amygdala	ENSG00000177352.10	F3	85	0.508707397889118	0.475103153593865	0.00132069300801276	0.00121980158294425	0.0136489539260599
Brain_Amygdala	ENSG00000233276.8	ASD	237	0.0155032681941849	0.942233839767649	0.000376199653658107	0.0228450435069541	0.0190416488775541
Brain_Amygdala	ENSG00000233276.8	ADHD	213	0.00565032503168516	0.317945181686235	0.00343948862828162	0.193060968514442	0.479904036139357
Brain_Amygdala	ENSG00000233276.8	F3	154	0.0211555562938482	0.968369882161367	7.73793133156247e-05	0.0035350819392019	0.0068621002922676
Brain_Amygdala	ENSG00000145020.16	ASD	151	0.395118666274213	0.590335651365831	0.00108414208593616	0.00160793249473319	0.0118536077792871
Brain_Amygdala	ENSG00000145020.16	ADHD	134	0.164855973953453	0.21986614654715	0.0426761993289365	0.0564004592476912	0.516201220922769
Brain_Amygdala	ENSG00000145020.16	F3	92	0.524460850879041	0.471074858482568	0.000351680843298667	0.000312081969810674	0.00380052782528135
Brain_Amygdala	ENSG00000173531.16	ASD	52	0.516524427055819	0.334675894393483	0.0208948541959741	0.0134240929544931	0.114480731400231
Brain_Amygdala	ENSG00000173531.16	ADHD	49	0.616653172201498	0.376958332711715	0.000468731225410523	0.000280895198111849	0.00563886866326471
Brain_Amygdala	ENSG00000173531.16	F3	32	0.706219497067441	0.285875905171454	0.00078599891245729	0.000311363179471669	0.0068072356691753
Brain_Amygdala	ENSG00000164068.16	ASD	276	0.00279325743971306	0.95608011098952	6.22886718367545e-05	0.0213004909288394	0.0197638519700909
Brain_Amygdala	ENSG00000164068.16	ADHD	240	0.000130256915795313	0.0375859304930934	0.00274777982118114	0.792711317213818	0.166824715556112
Brain_Amygdala	ENSG00000164068.16	F3	199	0.00405053230463558	0.984758122836469	6.78521942774232e-06	0.00164006583989661	0.00954449379957128
Brain_Amygdala	ENSG00000173540.14	ASD	410	1.61937022790117e-11	0.943924881117733	6.86031541801473e-13	0.0399724206413253	0.0161026982240607
Brain_Amygdala	ENSG00000173540.14	ADHD	369	2.489709789997e-14	0.00114517960561353	2.97496773747252e-12	0.135975252892744	0.862879567498643
Brain_Amygdala	ENSG00000173540.14	F3	255	3.22601728904258e-11	0.902175036923165	3.51447060974061e-13	0.00974034271909907	0.0880846203251252
Brain_Amygdala	ENSG00000004534.15	ASD	407	9.09437304254397e-09	0.889792294381408	2.90499219046355e-10	0.0283405392499297	0.0818671569837898
Brain_Amygdala	ENSG00000004534.15	ADHD	359	1.25006186439074e-10	0.0112866577271132	1.0015863741772e-08	0.904235773422463	0.0844775587095556
Brain_Amygdala	ENSG00000004534.15	F3	246	1.46522485997683e-08	0.989579649462125	3.11781645454384e-11	0.00209737958704293	0.00832295626740721
Brain_Amygdala	ENSG00000186792.17	ASD	89	6.66951959188532e-26	0.982478655570201	6.87554769727077e-28	0.0101208835404684	0.00740046088933213
Brain_Amygdala	ENSG00000186792.17	ADHD	77	2.544512159671e-28	0.00353777826749213	1.50856657555263e-26	0.208956984517757	0.787505237214754
Brain_Amygdala	ENSG00000068028.18	ASD	142	0.573966198419528	0.419239415069091	0.00099885752273618	0.000724519765847887	0.00507100922279654
Brain_Amygdala	ENSG00000068028.18	ADHD	120	0.613955523757124	0.38182879638737	0.000624595490185241	0.000385240118070949	0.00320584424724985
Brain_Amygdala	ENSG00000068028.18	F3	90	0.67055255862946	0.326580462093364	0.000419813498511985	0.000202217602257075	0.00224494817640677
Brain_Amygdala	ENSG00000114735.10	ASD	1031	0.00642495842653692	0.968454807927697	8.22626145130721e-05	0.0123870596001322	0.0126509114311211
Brain_Amygdala	ENSG00000114735.10	ADHD	891	0.0076108219587313	0.977519329686617	5.76136792674886e-05	0.00739237025597954	0.00741986441940473
Brain_Amygdala	ENSG00000114735.10	F3	680	0.0099738725232204	0.98028851658141	4.08199428223287e-05	0.00400632403427754	0.00569046691827009
Brain_Amygdala	ENSG00000273356.1	ASD	346	0.450718533918633	0.538068199994514	0.00199101725807286	0.00237002600957822	0.00685222281920183
Brain_Amygdala	ENSG00000273356.1	ADHD	292	0.496234199110363	0.498127194043641	0.00103905664259171	0.00103946026366451	0.00356008993974035
Brain_Amygdala	ENSG00000273356.1	F3	234	0.553625267448931	0.442769986044402	0.000694501538400587	0.000553080700558087	0.00235716426770848
Brain_Amygdala	ENSG00000164088.18	ASD	157	0.00502573191240391	0.943296588173683	2.93779174904967e-05	0.00546786006389666	0.0461804419325259
Brain_Amygdala	ENSG00000164088.18	ADHD	149	0.00532457018915113	0.986990551924946	6.38336131797536e-06	0.00117675194486379	0.00650174257972062
Brain_Amygdala	ENSG00000164088.18	F3	112	0.00627531140648791	0.987387214508849	4.22898123021238e-06	0.000659734423146313	0.00567351068028623
Brain_Amygdala	ENSG00000010322.16	ASD	89	0.310827028101881	0.670222036927494	0.000753725864506199	0.00160863587162524	0.0165885732344938
Brain_Amygdala	ENSG00000010322.16	ADHD	83	0.328816806668514	0.665450522729485	0.000204573099766049	0.000408890275911034	0.00511920722632388
Brain_Amygdala	ENSG00000010322.16	F3	63	0.397881271279027	0.598101349894449	0.000158074819937076	0.000233995232863646	0.00362530877372283
