pair	exposure	outcome	n_iv	method	beta	se	p	egger_intercept	egger_intercept_p	cochran_Q_p_ivw	presso_global_p	presso_raw_p	presso_outlier_corrected_b	presso_outlier_corrected_p
Gupta_2023_adj__MDD_noUKBB	Gupta_2023_adj	MDD_noUKBB	43	MR Egger	0.00425644743199737	0.102238347188977	0.966993677456027	-0.000700086144177709	0.873812854004758	0.0478889313686782	0.0488372093023256	0.849520468395605	0.0126566798772258	0.792122198372373
Gupta_2023_adj__MDD_noUKBB	Gupta_2023_adj	MDD_noUKBB	43	Weighted median	-0.0447725263082001	0.0642668924111625	0.486012158453789	-0.000700086144177709	0.873812854004758	0.0478889313686782	0.0488372093023256	0.849520468395605	0.0126566798772258	0.792122198372373
Gupta_2023_adj__MDD_noUKBB	Gupta_2023_adj	MDD_noUKBB	43	Robust adjusted profile score (RAPS)	0.0018724922809273	0.0504469391879208	0.970390875861959	-0.000700086144177709	0.873812854004758	0.0478889313686782	0.0488372093023256	0.849520468395605	0.0126566798772258	0.792122198372373
Gupta_2023_adj__BPD_noUKBB	Gupta_2023_adj	BPD_noUKBB	33	Inverse variance weighted	-0.0595538719781569	0.0967866101181998	0.538349312747013	-0.00689317887387593	0.411582858897182	0.0110532159135694	0.00787878787878788	0.54270089029823		
Gupta_2023_adj__BPD_noUKBB	Gupta_2023_adj	BPD_noUKBB	33	MR Egger	0.0764506416563977	0.190152564749926	0.69040669118442	-0.00689317887387593	0.411582858897182	0.0110532159135694	0.00787878787878788	0.54270089029823		
Gupta_2023_adj__BPD_noUKBB	Gupta_2023_adj	BPD_noUKBB	33	Weighted median	-0.00501689509064231	0.126761084386703	0.968429913745569	-0.00689317887387593	0.411582858897182	0.0110532159135694	0.00787878787878788	0.54270089029823		
Gupta_2023_adj__BPD_noUKBB	Gupta_2023_adj	BPD_noUKBB	33	Robust adjusted profile score (RAPS)	-0.13670409993735	0.101156591111477	0.176563907061067	-0.00689317887387593	0.411582858897182	0.0110532159135694	0.00787878787878788	0.54270089029823		
Gupta_2023_adj__PFactor	Gupta_2023_adj	PFactor	21	Inverse variance weighted	0.0073060089080997	0.0134790765387822	0.587800647601959	0.0016518666730786	0.195766009984669	3.05443199278868e-07	0.000476190476190476	0.593788889739106	0.00914510270435449	0.330395922401441
Gupta_2023_adj__PFactor	Gupta_2023_adj	PFactor	21	MR Egger	-0.024768186161455	0.0273290921167037	0.376130909454893	0.0016518666730786	0.195766009984669	3.05443199278868e-07	0.000476190476190476	0.593788889739106	0.00914510270435449	0.330395922401441
Gupta_2023_adj__PFactor	Gupta_2023_adj	PFactor	21	Weighted median	0.00524619624661347	0.0111811526660287	0.638926722840011	0.0016518666730786	0.195766009984669	3.05443199278868e-07	0.000476190476190476	0.593788889739106	0.00914510270435449	0.330395922401441
