pair	exposure_role	outcome_role	threshold_used	status	n_iv	n_iv_pre_steiger	mean_F	method	beta	SE	p	q_pval	egger_intercept	egger_intercept_p	presso_global_p	presso_corrected_b	presso_corrected_p	steiger_passes	FLAG_REVERSE_HIT
REV_F3_NDev__Gupta_2023_raw	F3_NDev	Gupta_2023_raw	1e-05	OK	24	24	24.2	Robust adjusted profile score (RAPS)	-0.04820	0.03048	0.114	NA	0.00186	0.765	NA	-0.03271	0.433	1.000	FALSE
REV_F3_NDev__Gupta_2023_adj	F3_NDev	Gupta_2023_adj	1e-05	OK	24	24	24.2	Inverse variance weighted	-0.01581	0.04449	0.722	1.92e-05	9.80752e-04	0.858	NA	0.00712	0.858	1.000	FALSE
REV_F3_NDev__Gupta_2023_adj	F3_NDev	Gupta_2023_adj	1e-05	OK	24	24	24.2	MR Egger	-0.04762	0.18100	0.795	1.14e-05	9.80752e-04	0.858	NA	0.00712	0.858	1.000	FALSE
REV_F3_NDev__Gupta_2023_adj	F3_NDev	Gupta_2023_adj	1e-05	OK	24	24	24.2	Weighted median	-0.03506	0.04215	0.406	NA	9.80752e-04	0.858	NA	0.00712	0.858	1.000	FALSE
REV_F3_NDev__Gupta_2023_adj	F3_NDev	Gupta_2023_adj	1e-05	OK	24	24	24.2	Robust adjusted profile score (RAPS)	-0.00522	0.03019	0.863	NA	9.80752e-04	0.858	NA	0.00712	0.858	1.000	FALSE
REV_ANX__Longchamps_2022	ANX	Longchamps_2022	5e-08	OK	55	55	37.3	Inverse variance weighted	0.02104	0.01269	0.097	3.46e-04	0.00172	0.332	NA	0.02609	0.037	1.000	FALSE
REV_ANX__Longchamps_2022	ANX	Longchamps_2022	5e-08	OK	55	55	37.3	MR Egger	-0.02877	0.05248	0.586	3.80e-04	0.00172	0.332	NA	0.02609	0.037	1.000	FALSE
REV_ANX__Longchamps_2022	ANX	Longchamps_2022	5e-08	OK	55	55	37.3	Weighted median	0.01194	0.01481	0.420	NA	0.00172	0.332	NA	0.02609	0.037	1.000	FALSE
REV_ANX__Longchamps_2022	ANX	Longchamps_2022	5e-08	OK	55	55	37.3	Robust adjusted profile score (RAPS)	0.02056	0.01340	0.125	NA	0.00172	0.332	NA	0.02609	0.037	1.000	FALSE
REV_ANX__Chong_2022	ANX	Chong_2022	5e-08	OK	55	55	37.3	Inverse variance weighted	0.02735	0.01060	0.010	0.177	0.00126	0.385	0.125	NA	NA	1.000	FALSE
